"janus-edge.vtex.com.br","34.228.81.134","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"janus-edge.vtex.com.br","52.87.167.157","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"janus-edge.vtex.com.br","107.23.167.148","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"janus-edge.vtex.com.br","34.203.28.38","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"janus-edge.vtex.com.br","34.224.215.200","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"janus-edge.vtex.com.br","34.228.29.81","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
"lgprd.elektra.com.mx","200.38.122.207","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"lojaselektra.com","200.38.122.152","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"lpk.elektra.com.mx","200.38.108.81","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","bing_domain_web"
"mobilegw.gruposalinas.com.mx","200.38.122.41","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"origen-www.elektra.com.mx","200.38.122.152","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"producto.elektra.com.mx","200.38.122.189","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","bing_domain_web"
"rsp.rsys2.net","12.130.131.126","San Bruno, California","United States","37.625","-122.431","reverse_resolve"
"salinasyrocha.com.mx","200.38.122.152","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"salsa.com.mx","200.38.122.152","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"scpp.elektra.com.mx","200.38.122.163","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","bing_domain_web"
"scppprd.elektra.com.mx","200.38.122.207","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"scpptlmprd.elektra.com.mx","200.38.122.207","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","reverse_resolve"
"services.elektra.com.mx","200.38.115.30","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","bing_domain_web"
"services.elektra.com.mx","200.38.115.30","Mexico City, Ciudad De Mexico","Mexico","19.4285","-99.1277","brute_hosts"
"ssl.vtexcommerce.com.br","54.145.208.16","Ashburn, Virginia","United States","39.0437","-77.4875","brute_hosts"
"ssl.vtexcommerce.com.br","54.210.242.58","Ashburn, Virginia","United States","39.0437","-77.4875","resolve"
